,RK,NAME,TEAM,SALARY,Year
0,1,Stephen Curry,Golden State Warriors,"$37,457,154",2019
1,2,Chris Paul,Houston Rockets,"$35,654,150",2019
2,3,LeBron James,Los Angeles Lakers,"$35,654,150",2019
3,4,Russell Westbrook,Oklahoma City Thunder,"$35,654,150",2019
4,5,Blake Griffin,Detroit Pistons,"$32,088,932",2019
5,6,Gordon Hayward,Boston Celtics,"$31,214,295",2019
6,7,Kyle Lowry,Toronto Raptors,"$31,200,000",2019
7,8,Paul George,Oklahoma City Thunder,"$30,560,700",2019
8,9,Mike Conley,Memphis Grizzlies,"$30,521,115",2019
9,10,James Harden,Houston Rockets,"$30,421,854",2019
10,RK,NAME,TEAM,SALARY,2019
11,11,Kevin Durant,Golden State Warriors,"$30,000,000",2019
12,12,Paul Millsap,Denver Nuggets,"$29,230,769",2019
13,13,Al Horford,Boston Celtics,"$28,928,709",2019
14,14,Damian Lillard,Portland Trail Blazers,"$27,977,689",2019
15,15,DeMar DeRozan,San Antonio Spurs,"$27,739,975",2019
16,16,Otto Porter Jr.,Washington Wizards,"$26,011,913",2019
17,17,Jrue Holiday,New Orleans Pelicans,"$25,976,111",2019
18,18,CJ McCollum,Portland Trail Blazers,"$25,759,766",2019
19,19,Joel Embiid,Philadelphia 76ers,"$25,467,250",2019
20,20,Andrew Wiggins,Minnesota Timberwolves,"$25,467,250",2019
21,RK,NAME,TEAM,SALARY,2019
22,21,Bradley Beal,Washington Wizards,"$25,434,263",2019
23,22,Anthony Davis,New Orleans Pelicans,"$25,434,263",2019
24,23,Andre Drummond,Detroit Pistons,"$25,434,263",2019
25,24,Hassan Whiteside,Miami Heat,"$25,434,262",2019
26,25,Nikola Jokic,Denver Nuggets,"$24,605,181",2019
27,26,Steven Adams,Oklahoma City Thunder,"$24,157,303",2019
28,27,Giannis Antetokounmpo,Milwaukee Bucks,"$24,157,303",2019
29,28,Marc Gasol,Memphis Grizzlies,"$24,119,025",2019
30,29,Kevin Love,Cleveland Cavaliers,"$24,119,025",2019
31,30,Harrison Barnes,Sacramento Kings,"$24,107,258",2019
32,RK,NAME,TEAM,SALARY,2019
33,31,Chandler Parsons,Memphis Grizzlies,"$24,107,258",2019
34,32,Nicolas Batum,Charlotte Hornets,"$24,000,000",2019
35,33,Rudy Gobert,Utah Jazz,"$23,241,573",2019
36,34,Kawhi Leonard,Toronto Raptors,"$23,114,067",2019
37,35,DeAndre Jordan,New York Knicks,"$22,897,200",2019
38,36,LaMarcus Aldridge,San Antonio Spurs,"$22,347,015",2019
39,37,Serge Ibaka,Toronto Raptors,"$21,666,667",2019
40,38,Aaron Gordon,Orlando Magic,"$21,590,909",2019
41,39,Danilo Gallinari,LA Clippers,"$21,587,579",2019
42,40,Victor Oladipo,Indiana Pacers,"$21,000,000",2019
0,41,Jimmy Butler,Philadelphia 76ers,"$20,445,779",2019
1,42,Ryan Anderson,Phoenix Suns,"$20,421,546",2019
2,43,Kyrie Irving,Boston Celtics,"$20,099,189",2019
3,44,Jabari Parker,Washington Wizards,"$20,000,000",2019
4,45,Zach LaVine,Chicago Bulls,"$19,500,000",2019
5,46,Tyler Johnson,Phoenix Suns,"$19,356,932",2019
6,47,Tim Hardaway Jr.,New York Knicks,"$19,200,127",2019
7,48,John Wall,Washington Wizards,"$19,169,800",2019
8,49,George Hill,Milwaukee Bucks,"$19,000,000",2019
9,50,Jeff Teague,Minnesota Timberwolves,"$19,000,000",2019
10,RK,NAME,TEAM,SALARY,2019
11,51,Klay Thompson,Golden State Warriors,"$18,988,725",2019
12,52,Allen Crabbe,Brooklyn Nets,"$18,500,000",2019
13,53,Goran Dragic,Miami Heat,"$18,109,175",2019
14,54,Kent Bazemore,Atlanta Hawks,"$18,089,887",2019
15,55,Evan Turner,Portland Trail Blazers,"$17,868,853",2019
16,56,Draymond Green,Golden State Warriors,"$17,469,565",2019
17,57,Tristan Thompson,Cleveland Cavaliers,"$17,469,565",2019
18,58,Evan Fournier,Orlando Magic,"$17,150,000",2019
19,59,Reggie Jackson,Detroit Pistons,"$17,043,478",2019
20,60,Bismack Biyombo,Charlotte Hornets,"$17,000,000",2019
21,RK,NAME,TEAM,SALARY,2019
22,61,Derrick Favors,Utah Jazz,"$16,900,000",2019
23,62,Jonas Valanciunas,Memphis Grizzlies,"$16,539,326",2019
24,63,Gary Harris,Denver Nuggets,"$16,517,857",2019
25,64,Timofey Mozgov,Orlando Magic,"$16,000,000",2019
26,65,Andre Iguodala,Golden State Warriors,"$16,000,000",2019
27,66,Ian Mahinmi,Washington Wizards,"$15,944,154",2019
28,67,Dennis Schroder,Oklahoma City Thunder,"$15,500,000",2019
29,68,DeMarre Carroll,Brooklyn Nets,"$15,400,000",2019
30,69,Gorgui Dieng,Minnesota Timberwolves,"$15,170,787",2019
31,70,Trevor Ariza,Washington Wizards,"$15,000,000",2019
32,RK,NAME,TEAM,SALARY,2019
33,71,Eric Bledsoe,Milwaukee Bucks,"$15,000,000",2019
34,72,Ricky Rubio,Utah Jazz,"$14,975,000",2019
35,73,Tobias Harris,Philadelphia 76ers,"$14,800,000",2019
36,74,JR Smith,Cleveland Cavaliers,"$14,720,000",2019
37,75,James Johnson,Miami Heat,"$14,651,700",2019
38,76,Luke Babbitt,Miami Heat,"$14,651,700",2019
39,77,Brandon Knight,Houston Rockets,"$14,631,250",2019
40,78,Robin Lopez,Chicago Bulls,"$14,357,750",2019
41,79,Marvin Williams,Charlotte Hornets,"$14,087,500",2019
42,80,Taj Gibson,Minnesota Timberwolves,"$14,000,000",2019
0,81,Thaddeus Young,Indiana Pacers,"$13,964,045",2019
1,82,Clint Capela,Houston Rockets,"$13,793,104",2019
2,83,Marcin Gortat,LA Clippers,"$13,565,218",2019
3,84,Cody Zeller,Charlotte Hornets,"$13,528,090",2019
4,85,Eric Gordon,Houston Rockets,"$13,500,375",2019
5,86,Joe Ingles,Utah Jazz,"$13,045,455",2019
6,87,Khris Middleton,Milwaukee Bucks,"$13,000,000",2019
7,88,Michael Kidd-Gilchrist,Charlotte Hornets,"$13,000,000",2019
8,89,Mason Plumlee,Denver Nuggets,"$12,917,808",2019
9,90,Wilson Chandler,Philadelphia 76ers,"$12,800,562",2019
10,RK,NAME,TEAM,SALARY,2019
11,91,Nikola Vucevic,Orlando Magic,"$12,750,000",2019
12,92,Kelly Olynyk,Miami Heat,"$12,537,527",2019
13,93,Miles Plumlee,Atlanta Hawks,"$12,500,000",2019
14,94,Jordan Clarkson,Cleveland Cavaliers,"$12,500,000",2019
15,95,Nikola Mirotic,Milwaukee Bucks,"$12,500,000",2019
16,96,Tyreke Evans,Indiana Pacers,"$12,400,000",2019
17,97,Courtney Lee,New York Knicks,"$12,253,780",2019
18,98,Solomon Hill,New Orleans Pelicans,"$12,252,928",2019
19,99,JJ Redick,Philadelphia 76ers,"$12,250,000",2019
20,100,Avery Bradley,Memphis Grizzlies,"$12,000,000",2019
21,RK,NAME,TEAM,SALARY,2019
22,101,Kentavious Caldwell-Pope,Los Angeles Lakers,"$12,000,000",2019
23,102,Kemba Walker,Charlotte Hornets,"$12,000,000",2019
24,103,Will Barton,Denver Nuggets,"$11,830,358",2019
25,104,T.J. Warren,Phoenix Suns,"$11,750,000",2019
26,105,Zach Randolph,Dallas Mavericks,"$11,692,308",2019
27,106,Marcus Smart,Boston Celtics,"$11,660,716",2019
28,107,Patty Mills,San Antonio Spurs,"$11,571,429",2019
29,108,Dion Waiters,Miami Heat,"$11,550,000",2019
30,109,Alec Burks,Utah Jazz,"$11,536,515",2019
31,110,John Henson,Milwaukee Bucks,"$11,327,466",2019
32,RK,NAME,TEAM,SALARY,2019
33,111,Omer Asik,Chicago Bulls,"$11,286,516",2019
34,112,Jusuf Nurkic,Portland Trail Blazers,"$11,111,111",2019
35,113,Iman Shumpert,Sacramento Kings,"$11,011,234",2019
36,114,Maurice Harkless,Portland Trail Blazers,"$10,837,079",2019
37,115,Tony Snell,Milwaukee Bucks,"$10,807,143",2019
38,116,Meyers Leonard,Portland Trail Blazers,"$10,595,506",2019
39,117,Bojan Bogdanovic,Indiana Pacers,"$10,500,000",2019
40,118,Terrence Ross,Orlando Magic,"$10,500,000",2019
41,119,Robert Covington,Philadelphia 76ers,"$10,464,092",2019
42,120,Rudy Gay,San Antonio Spurs,"$10,087,200",2019
0,121,Jon Leuer,Detroit Pistons,"$10,002,681",2019
1,122,Andre Roberson,Oklahoma City Thunder,"$10,000,000",2019
2,123,Danny Green,Toronto Raptors,"$10,000,000",2019
3,124,Darren Collison,Indiana Pacers,"$10,000,000",2019
4,125,Dwight Powell,Dallas Mavericks,"$9,631,250",2019
5,126,Matthew Dellavedova,Milwaukee Bucks,"$9,607,500",2019
6,127,Dante Exum,Utah Jazz,"$9,600,000",2019
7,128,Jared Dudley,Brooklyn Nets,"$9,530,000",2019
8,129,Norman Powell,Toronto Raptors,"$9,367,200",2019
9,130,Josh Richardson,Miami Heat,"$9,367,200",2019
10,RK,NAME,TEAM,SALARY,2019
11,131,Bogdan Bogdanovic,Sacramento Kings,"$9,000,000",2019
12,132,Rajon Rondo,Los Angeles Lakers,"$9,000,000",2019
13,133,E'Twaun Moore,New Orleans Pelicans,"$8,808,685",2019
14,134,Cristiano Felicio,Chicago Bulls,"$8,740,980",2019
15,135,Kosta Koufos,Sacramento Kings,"$8,739,500",2019
16,136,Fred VanVleet,Toronto Raptors,"$8,653,847",2019
17,137,Jerami Grant,Oklahoma City Thunder,"$8,653,847",2019
18,138,Kyle Anderson,Memphis Grizzlies,"$8,641,000",2019
19,139,Julius Randle,New Orleans Pelicans,"$8,641,000",2019
20,140,Jerryd Bayless,Minnesota Timberwolves,"$8,575,916",2019
21,RK,NAME,TEAM,SALARY,2019
22,141,Markelle Fultz,Philadelphia 76ers,"$8,339,880",2019
23,142,C.J. Miles,Memphis Grizzlies,"$8,333,333",2019
24,143,Joe Harris,Brooklyn Nets,"$8,333,333",2019
25,144,Shaun Livingston,Golden State Warriors,"$8,307,692",2019
26,145,Deandre Ayton,Phoenix Suns,"$8,165,160",2019
27,146,Garrett Temple,Memphis Grizzlies,"$8,000,000",2019
28,147,Lou Williams,LA Clippers,"$8,000,000",2019
29,148,P.J. Tucker,Houston Rockets,"$7,969,537",2019
30,149,Cory Joseph,Indiana Pacers,"$7,945,000",2019
31,150,Karl-Anthony Towns,Minnesota Timberwolves,"$7,839,435",2019
32,RK,NAME,TEAM,SALARY,2019
33,151,JaMychal Green,Memphis Grizzlies,"$7,666,667",2019
34,152,Kyle Korver,Utah Jazz,"$7,560,000",2019
35,153,Jeremy Lamb,Charlotte Hornets,"$7,488,372",2019
36,154,Darrell Arthur,Phoenix Suns,"$7,464,912",2019
37,155,Lonzo Ball,Los Angeles Lakers,"$7,461,960",2019
38,156,Doug McDermott,Indiana Pacers,"$7,333,333",2019
39,157,Jae Crowder,Utah Jazz,"$7,305,825",2019
40,158,Marvin Bagley III,Sacramento Kings,"$7,305,600",2019
41,159,D.J. Augustin,Orlando Magic,"$7,250,000",2019
42,160,Dewayne Dedmon,Atlanta Hawks,"$7,200,000",2019
0,161,Lance Thomas,New York Knicks,"$7,119,650",2019
1,162,D'Angelo Russell,Brooklyn Nets,"$7,019,698",2019
2,163,Davis Bertans,San Antonio Spurs,"$7,000,000",2019
3,164,Ersan Ilyasova,Milwaukee Bucks,"$7,000,000",2019
4,165,Langston Galloway,Detroit Pistons,"$7,000,000",2019
5,166,Boban Marjanovic,Philadelphia 76ers,"$7,000,000",2019
6,167,Al-Farouq Aminu,Portland Trail Blazers,"$6,957,105",2019
7,168,Jayson Tatum,Boston Celtics,"$6,700,800",2019
8,169,Luka Doncic,Dallas Mavericks,"$6,560,640",2019
9,170,Nemanja Bjelica,Sacramento Kings,"$6,500,000",2019
10,RK,NAME,TEAM,SALARY,2019
11,171,Mario Hezonja,New York Knicks,"$6,500,000",2019
12,172,Ben Simmons,Philadelphia 76ers,"$6,434,520",2019
13,173,Milos Teodosic,LA Clippers,"$6,300,000",2019
14,174,Marco Belinelli,San Antonio Spurs,"$6,153,846",2019
15,175,Wesley Johnson,Washington Wizards,"$6,134,520",2019
16,176,Josh Jackson,Phoenix Suns,"$6,041,520",2019
17,177,Jonathon Simmons,Philadelphia 76ers,"$6,000,000",2019
18,178,Ish Smith,Detroit Pistons,"$6,000,000",2019
19,179,Montrezl Harrell,LA Clippers,"$6,000,000",2019
20,180,Jaren Jackson Jr.,Memphis Grizzlies,"$5,915,040",2019
21,RK,NAME,TEAM,SALARY,2019
22,181,Brandon Ingram,Los Angeles Lakers,"$5,757,120",2019
23,182,Kristaps Porzingis,Dallas Mavericks,"$5,697,054",2019
24,183,De'Aaron Fox,Sacramento Kings,"$5,470,920",2019
25,184,Ben McLemore,Sacramento Kings,"$5,460,000",2019
26,185,Alex Abrines,Oklahoma City Thunder,"$5,455,236",2019
27,186,Patrick Patterson,Oklahoma City Thunder,"$5,451,600",2019
28,187,Jason Smith,Washington Wizards,"$5,450,000",2019
29,188,Marcus Morris Sr.,Boston Celtics,"$5,375,000",2019
30,189,Trae Young,Atlanta Hawks,"$5,356,440",2019
31,190,DeMarcus Cousins,Golden State Warriors,"$5,337,000",2019
32,RK,NAME,TEAM,SALARY,2019
33,191,Dwight Howard,Washington Wizards,"$5,337,000",2019
34,192,Alexis Ajinca,LA Clippers,"$5,285,394",2019
