Salary,Age,Player_Efficiency_Rating,Blocks,Turnovers_Pct,Steals,Assists_Pct,Games_Started,Games_Played,Total_Rebounds,Field_Goals,Defensive_Box_Plus_Minus,Defensive_Rebound_Pct,Usage_Pct,Free-Throws
1312611,24,8.4,13,16.4,1,3.8,0,22,36,17,1.9,20.9,17.6,9
2116955,32,9.5,9,17.2,25,20.7,0,65,69,121,-2.6,6.3,19.2,32
5504420,21,14.4,40,8.5,64,10.5,72,80,405,393,-0.4,14.1,20.1,156
365289,22,-2.2,0,0,0,22.6,0,5,3,0,-2.1,19.5,12.9,1
2022240,25,14.4,7,11.4,8,8,0,18,33,23,0.7,21,23.1,14
27734405,30,17.7,87,11.9,52,24.4,68,68,464,379,2.1,18.6,19.8,108
9769821,32,18.9,16,6.1,19,11,1,66,278,235,-1.5,24.2,26.1,65
1315448,34,5,0,7.4,3,4.9,0,30,24,30,-2.3,7.4,13.7,12
6000000,24,19.5,32,10.5,27,5.2,0,47,292,138,0.2,31.2,20.9,70
10845506,25,11.6,5,11,18,7.5,0,42,120,99,-0.9,17.7,22.7,60
5725000,23,10.1,8,8.3,37,5.5,6,68,86,134,-2.2,7.1,15.9,44
4187599,23,15,98,15.5,37,4.2,34,77,510,230,1.2,25.3,17.6,150
38362,23,13.2,2,4.9,3,5.1,1,6,29,25,-1.9,12.7,16.9,8
4961798,28,12.9,22,13.7,20,3.1,15,39,177,89,1,23.8,17.2,29
7319035,26,11.3,44,15.2,60,7.9,25,61,451,183,1.2,23.5,15.4,96
19332500,24,11.6,20,8.1,54,6.1,7,79,225,303,-1.4,10.2,14.9,105
855408,29,3.1,1,18.2,5,8.2,0,13,15,3,1,13.5,10.5,5
11000000,29,15,62,15.7,52,13,77,80,365,213,2.4,17,13.6,67
1913345,34,9.4,3,29.8,3,13,1,14,27,5,2.5,16.8,12.6,8
23775506,23,20.9,89,12.5,124,5.9,81,81,1116,483,2.9,36.3,22.4,137
14814815,33,14.4,39,11.2,76,16.7,0,76,304,219,1.7,13.1,11.2,72
9259259,25,9.6,79,9.1,94,4.6,79,79,402,215,2.1,14.2,10.1,47
2328652,32,9.3,25,33.4,13,12.3,21,27,218,38,5.3,33.9,10.4,3
1312611,22,8.7,20,16,54,20,18,72,136,117,0,9,16.4,148
2844429,27,5.9,6,12.7,16,4.1,0,38,61,43,-0.5,14.6,17,9
7574322,21,16.5,30,9.4,82,10.6,82,82,329,709,-2.9,8.8,29,412
1015969,23,14.7,3,10,5,7.1,1,23,78,38,-2.2,21,19.4,26
1023838,24,7.2,1,10.7,5,7.6,0,11,33,18,-0.2,16.9,15.6,0
23775506,23,27.5,167,9.1,94,11.1,75,75,886,770,2.3,27.9,32.6,519
3488000,31,10,2,2.2,24,5.2,7,49,31,98,-3.1,2.9,16.4,34
3290000,31,11.1,20,12.6,33,7.7,9,65,239,155,-0.8,14.5,13.6,61
2350999,22,18.7,5,14.2,4,18.5,0,15,28,36,-1.7,10.3,19.8,33
426775,29,5.8,1,33.3,0,9.9,0,8,6,2,0.7,16,9.4,0
4328000,30,13.1,39,13.5,17,3.9,2,75,333,143,1.1,21.6,14.1,79
2328652,31,9,7,8.4,21,7.4,45,61,125,185,-2,8.4,14.4,83
11825000,24,11.4,10,12.4,48,15,29,74,161,323,-1.5,7.5,20.3,132
8808989,26,14.4,11,9.7,68,10.9,55,55,334,359,-0.4,16.2,21.9,68
25000,24,6.2,1,0,1,0,0,4,1,5,-1,2.3,8.5,0
31968,21,-17.6,0,25,0,0,0,3,2,0,-4.5,24.4,18.9,0
5200000,23,9.8,6,11.9,29,6.9,26,61,130,180,-2.7,10.8,20.1,70
25000,34,16.1,0,14.9,13,35.4,0,39,57,92,-2.1,10.3,19.7,32
17000000,24,12.2,91,17.7,25,6,27,81,567,179,2,25.6,13.2,125
29512900,27,22.7,23,10.9,58,24.5,61,61,496,479,1.3,20.2,28,320
7000000,28,29.6,12,6,6,5.3,0,35,130,72,-0.9,32.5,25.3,47
1524305,32,10.8,0,7.6,1,17.6,0,25,6,23,-6.1,5.3,22.7,2
1516320,21,14.9,11,8.4,16,5.7,13,64,296,183,-1.5,24,19.1,39
10500000,27,13.5,7,12,34,8.7,54,81,277,376,-2.8,12.3,22.4,217
7000000,34,9,9,20.3,18,20.3,33,73,158,146,-0.2,9.8,15.6,26
23775506,23,20.1,21,9.6,83,16.2,77,77,239,637,-2.4,7.8,26.5,282
5955760,29,18.5,20,6.2,11,6,5,28,78,83,1.3,12.4,16.3,23
1551659,31,19.7,11,11.4,14,5.7,0,52,129,107,-0.8,16.2,19.7,77
5519400,19,8.5,36,12.9,50,10.5,40,79,317,276,-0.7,12.8,16.8,133
5587318,27,12.1,5,17.5,70,30.4,13,81,196,192,-2.2,10.1,17.6,114
13618750,25,12.3,5,13.1,27,17.8,5,54,118,209,-3,9.1,25,132
3500000,31,6.6,23,12.6,22,5.8,33,47,99,70,-0.1,9.5,9.6,13
1050961,31,9.8,1,15.7,9,18.7,2,41,39,46,-2.6,9,17.9,33
50000,24,11,1,10.7,12,15,0,20,26,25,0,9.6,16.3,11
1331160,22,17.2,1,12.5,2,18.6,0,3,3,2,12,24.2,39.8,0
22642350,28,20.4,124,12.1,38,14.8,75,75,403,555,-0.4,13.3,29.2,295
2451225,21,14.6,1,11.1,2,15.1,0,9,10,6,0.7,14.1,20.1,0
1312611,23,5.9,0,9.8,1,11.7,0,36,23,36,-2.8,8.2,17.9,5
3675480,23,11.8,9,11.2,38,10.3,55,82,269,327,-1.9,13.5,21.4,64
23962573,25,19.9,42,9.9,72,18,80,80,291,692,-2.2,9.2,27.5,268
7936509,29,13.7,25,5.5,46,4.1,29,76,229,281,-2.1,12.4,18.4,84
333334,32,9.3,2,14.5,43,16.1,9,62,89,96,-1.1,8.1,14.1,57
1209600,26,2.9,1,15.8,2,15.5,0,22,12,8,-2.2,8.3,15.4,2
2203440,22,5.6,5,12.9,14,17.7,0,31,48,64,-2.1,10.7,20.9,5
1632480,22,12.2,8,12.3,49,13.7,26,57,188,171,-0.4,13.9,16.6,67
26243760,32,17.9,34,9,60,14.5,74,74,436,602,-2.2,15.9,29.1,304
23112004,28,7.6,5,9.1,20,12.8,34,34,84,75,-0.5,13.6,17.8,35
7420912,33,15.6,37,8.8,33,4.9,15,74,290,238,-1.5,19.3,19.3,63
1312611,23,13.6,2,14,9,16.8,0,26,32,40,-2.9,9.4,19.7,41
1312611,20,16.8,7,7.6,4,3.2,0,17,73,36,-1,26.7,20.5,15
1312611,20,12.3,1,31.3,3,7.8,1,5,10,5,1.8,16.8,10.4,4
1551659,38,11.6,7,15.1,5,5.9,0,12,31,9,3,20.6,13,10
1471382,21,15.2,2,8.1,2,4.4,0,16,19,16,-2.6,13.3,19.9,3
24599495,31,26.2,8,14,118,46.8,61,61,304,374,1,14.9,24.4,232
874636,21,15.1,6,19.1,3,2.8,0,13,29,12,0.6,15.5,15.4,11
2334520,22,21.4,80,12,34,6.9,59,65,526,362,1,24.5,19.9,94
12584270,24,16.7,58,10.9,62,9.1,58,62,405,253,2.3,17.3,15.5,133
7300000,28,12.7,23,15.1,25,6.4,0,62,158,45,2.6,23.9,9.4,15
7579366,30,9.1,19,12.7,61,10.7,11,82,166,147,0.2,11.5,14.3,50
7630000,25,13.2,13,13.1,66,20,22,80,235,299,-0.4,10.4,18.4,94
11747890,31,12.1,23,8.5,81,10.6,74,77,260,321,-0.7,9.1,14.4,85
7843500,24,15.2,16,11.2,25,5.7,0,66,311,128,0.5,19.5,12.4,60
7250000,29,11,1,13.3,31,20.4,20,78,117,195,-3.3,7.4,19.4,131
24022,36,14.7,0,9.3,0,14.5,0,1,2,3,-7.1,8.9,39.9,3
1312611,21,5.3,4,22.7,1,0,0,10,23,8,-2.1,17,13.4,3
26153057,26,24.1,20,10.2,68,28.7,75,75,368,661,-2,13.3,31.5,488
980431,30,6.3,1,9.3,12,9.2,0,45,25,31,-1.9,7.1,13.6,0
5332800,20,15.3,16,15.6,87,26.8,60,63,222,351,-1.6,11.9,26.6,147
50000,23,6.6,0,9.7,2,5.8,0,19,22,12,-1.9,25.4,18,0
20559599,28,17.4,15,8.1,40,9.1,63,63,326,335,-2.1,14.7,19.9,349
10000000,29,10.2,58,14.1,71,9.6,68,68,224,176,2.7,11.8,13.5,27
2300000,29,10.2,28,7,39,3.1,35,66,277,174,0.8,14.2,10.7,16
4992385,21,8.6,12,16.8,21,14.2,26,66,132,155,-0.5,9.3,18.1,58
543471,23,12.2,0,,0,0,0,1,1,0,-4.4,100,0,0
2422560,22,12.8,30,15.2,57,14.3,36,81,513,381,-0.2,20.8,24.6,172
7464912,28,12.8,21,13.8,19,9.3,7,41,112,95,-0.6,14.9,17.3,19
10000000,29,15.3,9,12.6,67,24.5,64,68,153,340,-2.3,7.2,19.8,147
874636,23,5.9,2,16.8,11,12.3,1,39,33,47,-1.1,9.2,19.3,21
1551659,33,18.4,40,14.9,31,13,10,79,440,248,2.5,21.9,16.9,80
1312611,24,12.1,7,10.1,13,5,2,20,62,47,-0.3,13.1,11.8,25
2328652,36,16.6,48,22,42,24.1,0,68,203,135,3.9,18.8,17.9,43
1312611,24,12.9,28,11.4,20,8.3,6,67,99,103,0.5,10.6,15.7,28
1499760,22,8.8,5,13.2,8,11.5,1,38,59,47,0.1,13.1,14.2,6
22642350,28,21.8,135,13.2,52,5.7,81,81,1114,412,3,34.6,15.3,205
1577230,28,7.5,14,20.8,47,9.2,19,62,108,55,1.8,12.2,11.6,25
1312611,20,9.6,6,22.7,8,22.6,8,38,42,50,-0.2,12.4,23.5,21
1645200,24,15,11,15.1,27,18.2,0,27,48,49,1.2,8.1,16.6,42
27739975,27,24,13,9,78,20.6,74,74,386,721,-1.5,13.6,34.3,545
18063850,26,25.7,92,13.5,100,25.8,72,72,797,647,2.6,29.2,36.5,517
14800000,30,11.9,27,8.3,81,5.7,72,72,275,220,0.4,12.7,15.5,89
92858,22,30.8,0,0,0,28.2,0,5,4,3,-2.8,13,17.3,3
15500000,23,16.1,16,16.3,74,35.5,78,79,248,548,-1.4,9,27.8,218
2186400,23,7.3,7,14.2,30,9.3,0,57,151,102,-0.4,15.6,15.4,14
5500000,32,14,8,17.6,31,35.9,44,64,147,263,-2.4,9.4,22.1,90
12000000,25,15.8,40,11.4,45,7.9,39,50,305,203,2.3,20.2,20.7,67
1312611,19,12,13,8.6,14,3.1,8,32,79,68,-0.5,8.2,11.7,29
2116955,28,17,17,11.9,44,22.8,64,64,246,460,-2.2,9.3,25.7,221
5020145,25,10.6,7,9,14,5.1,11,50,130,108,-1.8,15.1,17.2,58
2319360,20,14.6,21,12.9,72,16.3,78,78,249,606,-2.7,8.3,28.6,367
4402546,33,13.8,7,12.5,43,20,0,65,127,136,-0.3,13,19.7,107
6000000,27,16,61,16.9,37,4.8,37,76,495,161,3.2,30.5,12.3,65
1312611,20,10.6,17,12.7,3,1.3,0,36,60,24,1.8,19.8,12,10
1312611,19,-1.2,1,11.9,0,0,0,7,6,3,-6.9,22.7,31.3,4
11000000,25,14.5,20,12.5,41,23.8,43,46,154,281,-0.8,11,26.3,82
5000000,38,17,38,6.6,30,10.6,54,54,353,296,0.3,28.3,25.8,98
2550000,20,6.9,32,14,39,7.2,66,81,287,192,-0.1,16.4,15.4,44
607491,26,9.2,11,16.3,18,10.3,0,34,101,57,1.2,16.6,17.6,25
1312611,23,7.7,25,11.1,52,6,35,81,221,124,1.3,12.3,11.6,46
3294994,25,10.7,5,6.6,13,5.9,5,66,179,222,-2.3,11.5,16.4,71
4468800,19,5.3,22,16.2,10,5.5,0,43,103,57,-0.3,15.6,14.4,4
16400000,26,16.5,106,19.8,154,27.6,76,76,599,272,5,20.9,16.2,151
23500000,31,20.8,92,17.5,64,7.8,74,74,940,388,2.8,31.7,19.2,226
9003125,25,17.6,39,7.2,61,6.1,3,77,306,194,1.9,19.5,16.7,107
15550000,35,18.5,41,11.3,86,22.4,59,60,271,414,0.6,12.6,29.6,223
6352531,27,11.5,22,17.2,15,4.8,12,46,243,75,0.2,20.7,12,50
1006000,24,21.3,6,24,0,5.1,0,2,11,4,7.7,26.7,13.2,0
3332340,22,17.2,40,15,88,35.7,58,82,387,430,0.2,13.8,21.6,146
,29,-3.4,0,20.2,0,5.6,0,2,6,1,-3.3,14.6,18,1
3381480,20,10.9,13,16.5,41,21.8,41,55,178,208,-1.8,11.6,22.6,131
20566802,24,23.7,38,12.5,32,7.9,0,72,482,402,-1.9,20.8,27.3,224
14500000,27,20.6,31,15.3,92,31.1,66,66,320,449,-0.4,13.8,28.1,388
12943020,28,13.1,40,10,48,12.3,15,75,201,412,-2.4,8.1,22.1,147
6000000,29,14.6,23,10.6,58,11,52,82,481,384,-0.8,18.8,22.2,161
8801363,27,12.1,32,8.7,50,13.8,22,73,152,283,-0.5,6.9,17.4,57
17000000,24,13.9,4,11.8,66,14.8,66,68,209,408,-2.2,8.3,23.5,223
17131148,28,11.4,24,14.3,53,18.4,12,65,247,235,-0.1,14.2,18.5,85
2847600,23,13,34,8,47,13.5,16,75,336,320,-0.7,15.8,21.8,118
1312611,22,10.5,2,11.1,17,17.5,0,37,42,39,-0.1,14.6,20.6,18
8000000,30,11.2,28,14.4,84,14.5,21,65,183,183,0.6,10,14.2,58
2550055,22,16.5,8,9.8,71,13.6,56,57,178,320,-1.6,8,18.4,104
72193,32,-4.3,0,0,0,7.1,0,2,1,0,-4.9,6,21.2,4
35165,24,4.5,4,29.2,3,18.1,0,6,12,8,0.6,14,15.8,3
20000000,30,19.3,11,10.9,50,22.6,49,49,167,289,-0.3,10.5,23.5,157
100000,23,0.1,0,11.9,3,7.5,0,23,17,9,-2.2,17.9,20.2,2
2301360,19,12.7,17,18.2,3,9,0,22,86,56,0.8,19.9,16.9,12
1410598,31,12,7,9.1,9,9.8,0,47,85,95,-2.7,13.9,22.7,33
1000000,29,10.8,15,9,41,10.5,41,72,185,234,-1.2,10,17.9,133
